id,titulo,genero,classificacao_etaria,nota,ano,duracao,pais,sinopse
18,"Missão Impossível",Ação,14,7.4,1996,"Mais de 90 min",EUA,"Um agente secreto é enviado em missões perigosas para proteger o mundo."
19,"O Protetor",Ação,16,7.2,2014,"Mais de 90 min",EUA,"Um ex-agente da CIA deve proteger uma jovem de assassinos."
20,"O Cavaleiro das Trevas",Ação,14,9.0,2008,"Mais de 90 min",EUA,"Um vigilante luta contra o crime em Gotham City."
21,Titanic,Romance,12,7.8,1997,"Mais de 90 min",EUA,"Um romance épico entre um jovem e uma mulher durante o afundamento de um transatlântico."
22,"O Diário de Uma Paixão",Romance,14,7.8,2004,"Mais de 90 min",EUA,"Um casal se lembra de sua história de amor através de cartas e lembranças."
23,"Orgulho e Preconceito",Romance,12,7.8,2005,"Mais de 90 min","Reino Unido","Um romance se desenvolve entre duas pessoas de mundos diferentes em um ambiente conservador."
24,"Comer, Rezar, Amar",Romance,12,5.8,2010,"Mais de 90 min",EUA,"Uma mulher embarca em uma jornada de autodescoberta em sua busca por amor."
25,"Questão de Tempo",Romance,12,7.8,2013,"Mais de 90 min","Reino Unido","Um homem descobre que pode voltar no tempo e tenta melhorar sua vida."
26,"Como Eu Era Antes de Você",Romance,12,7.4,2016,"Mais de 90 min",EUA,"Uma jovem luta para lidar com a perda de um amor enquanto tenta encontrar seu caminho."
27,"Simplesmente Acontece",Romance,12,7.2,2014,"Mais de 90 min","Reino Unido","Um amigo tenta ajudar sua melhor amiga a superar um amor não correspondido."
28,"O Amor Não Tira Férias",Romance,12,6.9,2006,"Mais de 90 min",EUA,"Duas pessoas se encontram durante as férias e têm um romance inesperado."
29,"La La Land",Romance,10,8.0,2016,"Mais de 90 min",EUA,"Um casal persegue seus sonhos enquanto tenta equilibrar amor e carreira em Los Angeles."
30,"10 Coisas Que Eu Odeio em Você",Romance,12,7.3,1999,"Até 90 min",EUA,"Uma adolescente descobre que seu diário é uma fonte de problemas em seu relacionamento."
31,"Se Beber, Não Case!",Comédia,16,7.7,2009,"Mais de 90 min",EUA,"Um grupo de amigos se envolve em situações cômicas e inesperadas em uma noite de festas."
32,"O Virgem de 40 Anos",Comédia,16,7.1,2005,"Mais de 90 min",EUA,"Um homem em crise de meia-idade encontra o amor em uma mulher mais jovem."
33,"Todo Mundo em Pânico",Comédia,16,6.2,2000,"Até 90 min",EUA,"Um grupo de amigos vive situações hilárias em um mundo de terror."
34,"Escola de Rock",Comédia,10,7.1,2003,"Mais de 90 min",EUA,"Um professor de música tenta inspirar seus alunos em uma escola pública."
35,Borat,Comédia,18,7.3,2006,"Até 90 min",EUA,"Um jornalista se envolve em uma jornada absurda com um estranho."
36,"Uma Noite no Museu",Comédia,10,6.4,2006,"Mais de 90 min",EUA,"Um grupo de amigos vive uma aventura mágica em um museu."
37,Zumbilândia,Comédia,16,7.6,2009,"Até 90 min",EUA,"Um grupo de sobreviventes deve lutar contra zumbis em um mundo pós-apocalíptico."
38,"As Branquelas",Comédia,12,5.6,2004,"Mais de 90 min",EUA,"Duas irmãs se reúnem para salvar o mundo da destruição."
39,"Curtindo a Vida Adoidado",Comédia,12,7.8,1986,"Até 90 min",EUA,"Um jovem vive um dia de aventuras em Chicago enquanto tenta evitar a escola."
40,"O Diabo Veste Prada",Comédia,10,6.9,2006,"Mais de 90 min",EUA,"Uma mulher descobre que sua vida está prestes a mudar quando se torna assistente de uma fashionista."
41,"Corpo Fechado",Terror,16,7.3,2000,"Mais de 90 min",EUA,"Um homem descobre que possui habilidades extraordinárias após um evento trágico."
42,"A Bruxa",Terror,18,6.9,2015,"Até 90 min",EUA,"Uma bruxa é perseguida por um grupo de caçadores enquanto tenta sobreviver."
43,"A Morte Te Dá Parabéns",Terror,16,6.5,2017,"Até 90 min",EUA,"Um jovem descobre que está preso em um loop temporal durante seu aniversário."
44,Sobrenatural,Terror,16,6.8,2010,"Mais de 90 min",EUA,"Uma família deve enfrentar forças sobrenaturais que ameaçam sua paz."
45,"O Chamado",Terror,14,7.1,2002,"Mais de 90 min",EUA,"Um jornalista investiga um vídeo de uma garota desaparecida."
46,Constantine,Ação,16,7.0,2005,"Mais de 90 min",EUA,"Um caçador de demônios enfrenta uma batalha contra forças sobrenaturais."
47,"O Protetor 2",Ação,16,6.7,2018,"Mais de 90 min",EUA,"Um ex-agente de proteção deve proteger um novo cliente de um ex-parceiro."
48,Deadpool,Ação,18,8.0,2016,"Mais de 90 min",EUA,"Um anti-herói luta contra vilões em um mundo cheio de injustiças."
49,"Kingsman: O Serviço Secreto",Ação,16,7.7,2014,"Mais de 90 min","Reino Unido","Um jovem recebe treinamento para se tornar um agente secreto."
50,"Capitão América: O Soldado Invernal",Ação,12,7.7,2014,"Mais de 90 min",EUA,"Um soldado deve lutar contra um inimigo em um mundo de super-heróis."
51,"Drácula de Bram Stoker",Terror,16,7.4,1992,"Mais de 90 min",EUA,"Um vampiro clássico ressuscita em um mundo moderno e precisa lidar com as consequências."
52,"Resident Evil",Terror,16,6.7,2002,"Mais de 90 min",EUA,"Um grupo de sobreviventes luta contra zumbis em uma cidade em colapso."
53,Annabelle,Terror,16,5.4,2014,"Mais de 90 min",EUA,"Uma boneca assombrada causa caos na vida de sua nova dona."
54,"O Grito",Terror,14,6.5,2004,"Mais de 90 min",EUA,"Um espírito vingativo assombra uma família em sua nova casa."
55,Psicose,Terror,14,8.5,1960,"Até 90 min",EUA,"Um psicopata atormenta uma mulher em busca de vingança."
56,"Uma Linda Mulher",Romance,12,7.0,1990,"Mais de 90 min",EUA,"Uma mulher encontra amor inesperado em uma cidade nova."
57,Crepúsculo,Romance,12,5.2,2008,"Mais de 90 min",EUA,"Uma história de amor e vampiros se desenrola em uma pequena cidade."
58,"Amor à Segunda Vista",Romance,12,6.1,2002,"Mais de 90 min",EUA,"Um casal descobre um amor inesperado em um clima de contos de fadas."
59,"Letra e Música",Romance,12,6.5,2007,"Mais de 90 min",EUA,"Uma mulher encontra um amor verdadeiro após uma série de desilusões."
60,"O Casamento do Meu Melhor Amigo",Romance,12,6.3,1997,"Mais de 90 min",EUA,"Uma mulher se vê em uma encruzilhada quando seu melhor amigo decide se casar. Ela percebe que está apaixonada por ele e tenta, de todas as maneiras, interromper o casamento."
61,"Harry Potter e a Pedra Filosofal",Ação,10,7.6,2001,"Mais de 90 min","Reino Unido","Um grupo de heróis luta contra uma ameaça sobrenatural em um mundo de fantasia."
62,"O Senhor dos Anéis: A Sociedade do Anel",Ação,14,8.8,2001,"Mais de 90 min","Nova Zelândia","Uma jornada épica em um mundo de fantasia onde a amizade e a coragem são testadas."
63,"Piratas do Caribe: A Maldição do Pérola Negra",Ação,12,8.0,2003,"Mais de 90 min",EUA,"Um jovem ferreiro se une ao pirata Jack Sparrow para resgatar a filha do governador, que foi sequestrada por um navio fantasma, enquanto enfrenta uma maldição antiga."
64,Cinderela,Romance,10,7.0,2015,"Mais de 90 min",EUA,"Uma jovem maltratada pela madrasta e irmãs encontra a esperança de uma nova vida quando um príncipe realiza um baile à sua procura, e sua fada madrinha aparece para ajudá-la."
65,"O Rei Leão",Ação,0,8.5,1994,"Até 90 min",EUA,"Uma história épica de amor e aventura em um mundo de fantasia."
66,"Alice no País das Maravilhas",Terror,10,6.4,2010,"Mais de 90 min",EUA,"Uma jovem é transportada para um mundo mágico, onde encontra criaturas excêntricas e vive aventuras surreais enquanto tenta voltar para casa."
67,Malévola,Terror,10,7.0,2014,"Mais de 90 min",EUA,"Uma jovem princesa e seu pai enfrentam forças malignas em uma batalha pela liberdade de seu reino, enquanto revelam segredos sobre a verdadeira natureza de Malévola."
68,"As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa",Ação,10,6.9,2005,"Mais de 90 min",EUA,"Quatro irmãos descobrem um mundo mágico através de um guarda-roupa e lutam contra a Feiticeira Branca para salvar Nárnia."
69,Aladdin,Ação,10,6.9,2019,"Mais de 90 min",EUA,"Um jovem que encontra uma lâmpada mágica precisa enfrentar perigos e inimigos para se tornar o príncipe que sempre sonhou ser."
70,Moana,Ação,0,7.6,2016,"Até 90 min",EUA,"Uma jovem parte em uma jornada de auto-descoberta em um mundo polinésio, onde encontra uma deusa e ajuda a salvar sua ilha."
71,Shrek,Romance,0,7.9,2001,"Até 90 min",EUA,"Um ogro e uma princesa se unem em uma jornada inesperada, onde descobrem a importância da amizade e da verdadeira beleza."
72,Frozen,Terror,0,7.4,2013,"Mais de 90 min",EUA,"Duas irmãs devem lutar contra suas inseguranças e um poder sombrio que ameaça congelar seu reino para sempre."
73,"Viva: A Vida é uma Festa",Ação,0,8.4,2017,"Mais de 90 min",EUA,"Um garoto encontra uma marionete que ganha vida, levando-o a uma incrível aventura musical que celebra a cultura mexicana."
74,"A Bela e a Fera",Romance,0,8.0,1991,"Até 90 min",EUA,"Uma jovem princesa é aprisionada em um castelo encantado e deve encontrar o amor verdadeiro para quebrar a maldição."
75,Coraline,Terror,10,7.7,2009,"Até 90 min",EUA,"Uma garotinha descobre um mundo paralelo assustador e deve encontrar a coragem para resgatar seus pais e enfrentar criaturas sinistras."
76,"Toy Story",Animação,0,8.3,1995,"Até 90 min",EUA,"Um grupo de brinquedos ganha vida quando os humanos não estão por perto, levando a aventuras emocionantes e lições sobre amizade."
77,"Procurando Nemo",Animação,0,8.1,2003,"Mais de 90 min",EUA,"Um peixinho-palhaço parte em uma jornada épica para encontrar seu filho, enfrentando perigos e fazendo amigos inesperados pelo caminho."
78,"Os Incríveis",Animação,0,8.0,2004,"Mais de 90 min",EUA,"Uma família de super-heróis deve esconder suas habilidades enquanto luta contra um vilão que ameaça a paz mundial."
79,Zootopia,Animação,0,8.0,2016,"Até 90 min",EUA,"Uma raposa e um coelho formam uma improvável amizade e se juntam para resolver um mistério em uma cidade habitada por animais."
80,"Kung Fu Panda",Animação,0,7.6,2008,"Até 90 min",EUA,"Um panda desajeitado se torna um mestre do kung fu e deve enfrentar um perigoso vilão para salvar seu vale."
81,"Divertida Mente",Animação,0,8.1,2015,"Mais de 90 min",EUA,"As emoções de uma garota chamada Riley, que se muda para uma nova cidade, lutam para guiá-la na adaptação a essa nova vida. Alegria, Tristeza, Raiva, Nojinho e Medo enfrentam desafios emocionais."
82,"Meu Malvado Favorito",Animação,0,7.6,2010,"Até 90 min",EUA,"Um supervilão chamado Gru planeja roubar a Lua, mas seus planos mudam quando três meninas órfãs entram em sua vida e o fazem questionar suas prioridades."
83,Ratatouille,Animação,0,8.0,2007,"Mais de 90 min",EUA,"Uma garotinha descobre que tem o poder de criar e controlar alimentos, levando-a a aventuras fantásticas em Paris."
84,Carros,Animação,0,7.1,2006,"Mais de 90 min",EUA,"Um carro de corrida ganha uma nova perspectiva sobre a vida após ser acidentalmente perdido em uma cidade pequena."
85,"Monstros S.A.",Animação,0,8.1,2001,"Até 90 min",EUA,"Uma equipe de monstros que trabalha em uma fábrica de sustos descobre que risadas são mais poderosas que gritos."
89,"Pulp Fiction",Ação,18,8.9,1994,"Mais de 90 min",EUA,"Um gângster aposentado reflete sobre sua vida e escolhas, enquanto lida com o legado que deixa para sua família."
90,"Forrest Gump",Romance,12,8.8,1994,"Mais de 90 min",EUA,"Um homem comum se torna um herói improvável, mudando o curso da história durante a Guerra Civil Americana."
93,"Star Wars: Uma Nova Esperança",Ação,0,8.6,1977,"Mais de 90 min",EUA,"Um grupo de rebeldes luta contra um império tirano em uma batalha épica que determina o futuro da galáxia."
94,"Jurassic Park",Ação,12,8.1,1993,"Mais de 90 min",EUA,"Uma equipe de cientistas revive dinossauros em um parque temático, mas os animais escapam, levando a um caos aterrorizante."
95,"Clube da Luta",Romance,18,8.8,1999,"Mais de 90 min",EUA,"Um homem luta contra a opressão em uma sociedade distópica, enquanto descobre os segredos obscuros por trás de sua realidade."
97,Inception,Ação,14,8.8,2010,"Mais de 90 min",EUA,"Um ladrão especializado em roubo de segredos de sonhos deve realizar um último trabalho para obter a redenção."
98,Avatar,Ação,12,7.8,2009,"Mais de 90 min",EUA,"Um ex-militar se une a uma resistência para proteger um novo mundo e enfrentar um novo inimigo alienígena."
100,"O Poderoso Chefão",Ação,18,9.2,1972,"Mais de 90 min",EUA,"Um mafioso se vê em um conflito moral entre seu negócio e sua família, enquanto lida com o passado sombrio."
101,"Batman: O Cavaleiro das Trevas",Ação,14,9.0,2008,"Mais de 90 min",EUA,"Um vigilante mascarado enfrenta um criminoso psicótico que ameaça a cidade de Gotham."
103,"O Iluminado",Terror,16,8.4,1980,"Mais de 90 min",EUA,"Um escritor e sua família se isolam em um hotel assombrado, onde eventos sobrenaturais revelam sua sanidade em perigo."
105,"Pantera Negra",Ação,12,7.3,2018,"Mais de 90 min",EUA,"Após a morte de seu pai, T'Challa retorna a Wakanda, sua nação secreta e tecnologicamente avançada, para assumir o trono, enfrentando desafios internos e externos que testam sua coragem e liderança."
106,Interestelar,Ação,10,8.6,2014,"Mais de 90 min",EUA,"Um piloto e um grupo de sobreviventes lutam por suas vidas em um futuro distópico após uma catástrofe global."
107,Rocky,Romance,12,8.1,1976,"Mais de 90 min",EUA,"Um boxeador luta contra adversidades para se tornar um campeão, superando todos os obstáculos em seu caminho."
108,"O Sexto Sentido",Terror,14,8.1,1999,"Mais de 90 min",EUA,"Um menino descobre que tem a habilidade de ver e se comunicar com os mortos, enquanto tenta desvendar um mistério."
109,"Matrix Reloaded",Ação,14,7.2,2003,"Mais de 90 min",EUA,"Um homem luta para escapar de um mundo virtual cheio de armadilhas e perigos, em busca de sua verdadeira identidade."
110,"O Homem de Ferro",Ação,12,7.9,2008,"Mais de 90 min",EUA,"Um homem de armadura se torna um super-herói, enfrentando desafios enquanto tenta equilibrar sua vida pessoal e seu novo papel."
111,"O Grande Truque",Terror,12,8.5,2006,"Mais de 90 min",EUA,"Um mágico e seu rival competem em um jogo mortal de ilusões, onde cada truque pode ter consequências fatais."
112,"V de Vingança",Ação,16,8.2,2005,"Mais de 90 min",EUA,"Um ativista se torna um símbolo de resistência contra um regime totalitário, lutando por liberdade e justiça."
113,WALL-E,Animação,0,8.4,2008,"Mais de 90 min",EUA,"Um robô solitário viaja pelo espaço em busca de vida, enquanto descobre o valor da amizade e da solidariedade."
116,"Os Caçadores da Arca Perdida",Ação,12,8.4,1981,"Mais de 90 min",EUA,"Um arqueólogo deve enfrentar armadilhas perigosas e rivais em sua busca por artefatos antigos que podem mudar a história."
117,"E.T.: O Extraterrestre",Ação,0,7.8,1982,"Mais de 90 min",EUA,"Um menino e seu amigo alienígena devem se unir para encontrar o caminho de volta para casa, enfrentando perigos e aventuras."
119,Coringa,Romance,18,8.4,2019,"Mais de 90 min",EUA,"Um homem que luta com sua saúde mental deve confrontar seus demônios e encontrar um propósito em um mundo caótico."
120,"Django Livre",Romance,18,8.4,2012,"Mais de 90 min",EUA,"Um escravo se torna um caçador de recompensas em uma busca por liberdade e vingança contra seus opressores."
121,Homem-Aranha,Ação,12,7.3,2002,"Mais de 90 min",EUA,"Um jovem herói se vê em uma jornada para salvar sua cidade de uma terrível ameaça, enquanto descobre seu verdadeiro potencial."
122,"Blade Runner 2049",Ação,14,8.0,2017,"Mais de 90 min",EUA,"Um policial e um ex-soldado unem forças para combater um cartel de drogas em uma operação perigosa e clandestina."
123,"O Resgate do Soldado Ryan",Ação,16,8.6,1998,"Mais de 90 min",EUA,"Um grupo de soldados deve lutar por suas vidas em uma missão de resgate no meio de uma guerra brutal."
124,"O Artista",Romance,0,7.9,2011,"Mais de 90 min",França,"Um mudo e o cineasta mudo se tornam amigos, enquanto tentam se destacar em uma Hollywood em transformação."
125,"Cisne Negro",Terror,16,8.0,2010,"Mais de 90 min",EUA,"Uma bailarina luta contra seus demônios internos e a pressão para alcançar a perfeição em sua arte."
126,Pânico,Terror,16,7.3,1996,"Mais de 90 min",EUA,"Um grupo de amigos é aterrorizado por um assassino mascarado, enquanto tentam desvendar o mistério por trás de uma série de mortes."
127,Memento,Terror,16,8.4,2000,"Mais de 90 min",EUA,"Um homem amnésico deve desvendar o mistério de seu passado, enquanto luta para sobreviver em um mundo sombrio."
128,Parasita,Romance,16,8.6,2019,"Mais de 90 min","Coreia do Sul","Uma família rica e poderosa enfrenta a infiltração de uma família de classe baixa em sua casa, desencadeando uma série de eventos inesperados que revelam as desigualdades sociais."
129,"A Origem",Ação,14,8.8,2010,"Mais de 90 min",EUA,"Um ladrão especialista em extrair segredos dos sonhos é oferecido a chance de ter sua vida de volta se conseguir implantar uma ideia na mente de um alvo."
131,"Cidade de Deus",Romance,18,8.6,2002,"Mais de 90 min",Brasil,"Em uma comunidade violenta, um jovem precisa sobreviver e lutar por sua vida em meio ao crime e à pobreza."
132,"O Silêncio dos Inocentes",Terror,18,8.6,1991,"Mais de 90 min",EUA,"Uma jovem agente do FBI precisa entender a mente de um serial killer para capturar outro assassino que está à solta."
133,"A Rede Social",Romance,12,7.7,2010,"Mais de 90 min",EUA,"A história da criação do Facebook e do jovem programador que se torna um dos mais ricos e controversos empreendedores da era digital."
134,"O Discurso do Rei",História,12,8.0,2010,"Mais de 90 min","Reino Unido","Um homem com dificuldades de fala supera suas inseguranças e se torna o primeiro-ministro da Grã-Bretanha, enfrentando desafios pessoais e políticos."
136,"Os Estranhos",Terror,16,6.2,2008,"Até 90 min",EUA,"Uma família em uma casa isolada é aterrorizada por estranhos que parecem saber tudo sobre eles e suas fraquezas."
137,"O Caderno de Termo",Terror,18,6.1,2004,"Mais de 90 min",EUA,"Um grupo de amigos se reúne para decifrar um caderno de termos e entender um mistério que os une."
138,"A Entidade",Terror,16,6.8,2012,"Mais de 90 min",EUA,"Um grupo de jovens enfrenta uma força sobrenatural que persegue cada um deles, um por um."
139,Cloverfield,Terror,16,7.0,2008,"Mais de 90 min",EUA,"Uma criatura misteriosa emerge em Nova York, enquanto um grupo de amigos tenta sobreviver à catástrofe que se aproxima."
140,"O Último Exorcismo",Terror,16,5.8,2010,"Mais de 90 min",EUA,"Um exorcista enfrenta uma série de eventos perturbadores enquanto tenta libertar uma jovem do controle de uma entidade demoníaca."
142,RoboCop,Ação,18,7.5,1987,"Mais de 90 min",EUA,"Em um futuro distópico, um policial cibernético luta contra a corrupção e a criminalidade em uma cidade dominada pelo crime."
143,"Os Mercenários",Ação,16,6.5,2010,"Mais de 90 min",EUA,"Um grupo de mercenários realiza missões impossíveis, enfrentando inimigos poderosos e lutando por sobrevivência."
144,Transformers,Ação,10,7.0,2007,"Mais de 90 min",EUA,"Uma batalha épica entre Autobots e Decepticons se desenrola enquanto eles lutam pela sobrevivência da Terra."
145,"Kingsman: A Serviço Secreto",Ação,16,7.7,2014,"Mais de 90 min","Reino Unido","Um jovem é recrutado por um agente secreto para uma missão que o levará a descobrir os segredos mais obscuros da espionagem."
146,"A Dama e o Vagabundo",Romance,0,7.3,1955,"Até 90 min",EUA,"Um cachorro e uma gata desenvolvem uma amizade improvável enquanto exploram a cidade e se envolvem em diversas aventuras."
147,"A Mula",Romance,12,7.0,2018,"Mais de 90 min",EUA,"Um homem idoso se vê em uma jornada inesperada, enquanto tenta realizar seus sonhos e passar tempo com sua família."
148,"Amizade Colorida",Romance,12,6.2,2011,"Mais de 90 min",EUA,"Dois amigos decidem manter um relacionamento casual, mas as coisas ficam complicadas quando eles começam a desenvolver sentimentos um pelo outro."
149,"Amor e Inocência",Romance,10,6.5,2015,"Mais de 90 min",EUA,"Uma jovem descobre que seu novo namorado é uma pessoa completamente diferente do que ela pensava, levando-a a questionar suas escolhas."
150,"A Proposta",Romance,10,6.7,2009,"Mais de 90 min",EUA,"Uma mulher decide se casar com um homem que ela não conhece bem, resultando em uma série de mal-entendidos e risadas."
151,"Apertem os Cintos... O Piloto Sumiu!",Comédia,10,7.7,1980,"Mais de 90 min",EUA,"Um piloto precisa lidar com um desastre inesperado enquanto tenta salvar sua tripulação e passageiros em uma viagem de avião."
152,"As Férias da Minha Vida",Comédia,12,6.1,2006,"Mais de 90 min",EUA,"Uma mulher decide passar suas férias de verão com sua família, redescobrindo laços familiares e se divertindo como nunca."
153,"A Espiã que Sabia de Menos",Comédia,12,6.0,2015,"Mais de 90 min",EUA,"Uma espiã se vê em um jogo de gato e rato com uma organização secreta enquanto tenta cumprir sua missão."
154,"Babe, o Porquinho Atrapalhado",Comédia,0,7.0,1995,"Até 90 min",EUA,"Um porquinho se aventura para se tornar um verdadeiro campeão de corridas, enfrentando desafios e aprendendo sobre amizade."
155,"O Mentor",Comédia,12,6.2,2014,"Mais de 90 min",EUA,"Um mentor ajuda um jovem a encontrar seu caminho na vida, compartilhando sabedoria e experiências valiosas."
177,"Tropa de Elite",Ação,18,8.1,2007,"Mais de 90 min",Brasil,"Uma unidade policial luta contra o crime e a corrupção nas favelas do Rio de Janeiro."
178,"Central do Brasil",Romance,12,8.0,1998,"Mais de 90 min",Brasil,"Uma mulher idosa reflete sobre sua vida e suas experiências enquanto busca reconexões com o passado."
179,"O Auto da Compadecida",Comédia,12,8.7,2000,"Mais de 90 min",Brasil,"Uma comédia de costumes que retrata a luta de um homem simples para salvar sua alma em um contexto de tradições e dificuldades."
180,Bacurau,Romance,16,7.5,2019,"Mais de 90 min",Brasil,"Uma comunidade rural luta contra a opressão e descobre a força da união e resistência."
181,"Que Horas Ela Volta?",Romance,14,7.8,2015,"Mais de 90 min",Brasil,"Uma mulher retorna ao Brasil após anos no exterior e se depara com os desafios da classe social e da desigualdade."
182,Aquarius,Romance,16,7.4,2016,"Mais de 90 min",Brasil,"Uma mulher de meia-idade busca entender seu lugar no mundo e as mudanças que ocorreram em sua vida."
183,Carandiru,Romance,16,7.6,2003,"Mais de 90 min",Brasil,"Um grupo de detentos vive uma jornada de autodescoberta enquanto tenta sobreviver em um ambiente hostil."
184,"Dois Filhos de Francisco",Biografia,10,7.4,2005,"Mais de 90 min",Brasil,"Dois irmãos tentam reconciliar suas diferenças e seus passados complicados enquanto buscam sucesso na música."
185,"Minha Mãe é uma Peça",Comédia,12,6.8,2013,"Mais de 90 min",Brasil,"Uma mãe se vê envolvida em uma série de situações engraçadas enquanto tenta criar seus filhos e lidar com os desafios da vida."
187,Oldboy,Ação,18,8.4,2003,"Mais de 90 min","Coreia do Sul","Um homem busca vingança após ser preso injustamente e descobre os segredos sombrios de sua prisão."
188,"O Hospedeiro",Terror,14,7.1,2006,"Mais de 90 min","Coreia do Sul","Uma criatura misteriosa emerge das águas, causando terror em uma cidade à beira do colapso."
189,"Invasão Zumbi",Terror,16,7.6,2016,"Mais de 90 min","Coreia do Sul","Uma epidemia de zumbis transforma a vida de um grupo de sobreviventes em um jogo mortal de sobrevivência."
190,"Memórias de um Assassino",Terror,16,8.1,2003,"Mais de 90 min","Coreia do Sul","Um detetive investiga um crime brutal e descobre verdades obscuras sobre o passado da vítima e seus próprios demônios."
191,"O Caçador",Terror,18,7.8,2008,"Mais de 90 min","Coreia do Sul","Um caçador busca um animal lendário em uma floresta remota, mas logo se vê preso em uma luta pela sobrevivência."
192,Burning,Romance,16,7.5,2018,"Mais de 90 min","Coreia do Sul","Um jovem enfrenta dilemas éticos e morais enquanto tenta descobrir a verdade sobre sua origem e seu lugar no mundo."
193,"A Criada",Romance,18,8.1,2016,"Mais de 90 min","Coreia do Sul","Uma criada se vê envolvida em uma teia de mentiras e segredos enquanto tenta garantir seu futuro em uma casa de aristocratas."
194,"O Homem de Lugar Nenhum",Ação,16,7.8,2010,"Mais de 90 min","Coreia do Sul","Um homem é subornado por um colega para se envolver em um esquema de corrupção, mas suas escolhas têm consequências inesperadas."
195,"O Suborno",Ação,16,7.0,2017,"Mais de 90 min","Coreia do Sul","Uma mulher se prepara para o casamento, mas um antigo amor retorna e complica suas decisões."
197,"O Casamento de Muriel",Comédia,12,7.2,1994,"Mais de 90 min",Austrália,"Um grupo de amigos descobre que o casamento de uma deles pode ser um grande engano, levando a um final inesperado."
198,"Babe, o Porquinho Atrapalhado na Cidade",Comédia,0,5.7,1998,"Mais de 90 min",Austrália,"Um porquinho se perde na cidade e embarca em uma jornada divertida para encontrar seu caminho de volta para casa."
199,"O Mestre dos Desejos",Terror,18,5.8,1997,"Mais de 90 min",Austrália,"Um jovem descobre que pode fazer desejos se se tornar um mestre de desejos, mas logo aprende sobre as consequências."
200,"O Caminho de Casa",Romance,12,7.4,2017,"Mais de 90 min",Austrália,"Um homem tenta voltar para casa após perder-se em uma cidade estranha, encontrando amigos inesperados pelo caminho."
201,"O Presente",Terror,14,7.1,2015,"Mais de 90 min",Austrália,"Um presente misterioso transforma a vida de um jovem, levando-o a uma jornada de autodescoberta e aventura."
202,"Crocodilo Dundee",Ação,12,6.6,1986,"Mais de 90 min",Austrália,"Um aventureiro australiano se torna um herói inesperado em uma terra selvagem, enfrentando crocodilos e culturas exóticas."
203,"O Segredo de Brokeback Mountain",Romance,18,7.7,2005,"Mais de 90 min",Austrália,"Dois homens apaixonados enfrentam os desafios da sociedade e suas próprias identidades em um amor proibido nas montanhas de Wyoming."
204,"Em Busca da Felicidade",Romance,14,8.0,2006,"Mais de 90 min",Austrália,"Um homem luta para superar as dificuldades da vida e proporcionar um futuro melhor para seu filho enquanto enfrenta a pobreza."
